Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100nF,100nF 0603 X7R 
D1,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,1,SK6812MINI-E,SK6812MINI-E-012
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,SM04B-SRSS-TB
"J2, J3",PinSocket_1x01_P2.54mm_Horizontal,2,Conn_01x01,DNP
U1,SOT-23-6,1,TMAG5273,C3716049
