Designator,Mid X,Mid Y,Rotation,Layer
C1,107.96,-94.15,0.0,top
D1,107.96,-97.35,180.0,bottom
J1,108.0,-82.3,180.0,top
J2,102.35,-89.56,270.0,top
J3,113.7,-89.56,270.0,top
U1,108.0,-91.7,180.0,top
